"Carimbo de data/hora","Nome de usuário","Qual tipo de curso você está fazendo?","Em qual escola você estuda?","Você mora na mesma cidade da escola que você estuda?","Você tinha dificuldades para ir à sua escola antes da Pandemia?","Qual modalidade de ensino você está cursando durante a Pandemia?","Quando você ficou sabendo que teria ensino remoto, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino remoto, o que você está achando?","Quais tecnologias você usar para estudar remotamente?","Você está sentindo dificuldades em utilizar a tecnologias?","Quais são os desafios do ensino remoto para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino remoto está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino Remoto e ensino Presencial, qual você prefere?","Quando você ficou sabendo que teria ensino EAD, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino EAD, o que você está achando?","Quais tecnologias você usa para seus estudos EAD?","Você está sentindo dificuldades em utilizar estas tecnologias?","Quais são os desafios do ensino EAD para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino EAD está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino EAD e o ensino Presencial, qual você prefere?"
"2020/05/14 9:26:50 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte pago;Distância longa","Ensino Remoto","Sim","Achei que seria Ruim","Estou achando bom","Microsoft Teams","Não","Consegui superar os desafios","Estou com cansaço na visão;Estou com um estresse maior;Estou com dor no corpo, por causa de ambiente impróprio para estudo","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:27:51 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Não","Eu não sabia o que pensar","Estou achando Ruim","Microsoft Teams","Não","Não consigo ter foco em casa","Não","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:28:36 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte gratuito","Ensino Remoto","Sim","Eu achava que seria Excelente","Estou achando Excelente","Microsoft Teams","Não","Os professores não estão se adaptando","Estou com cansaço na visão","É muito melhor o remoto","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/14 9:29:26 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Não","Eu achava que seria Excelente","Eu não sei o que pensar","Microsoft Teams","As vezes","Não tenho computador para assistir e praticar as aulas","Não","Não","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/14 9:30:47 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte pago;Tenho dificuldades de horários","Ensino Remoto","Sim","Achei que seria Ruim","Estou achando Ruim","Microsoft Teams","Sim","Minha internet não é boa;Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades","Estou com cansaço na visão;Estou com dor de cabeça;Estou com um estresse maior;Estou com dor no corpo, por causa de ambiente impróprio para estudo","Não","Ela facilita o trabalho em grupo, estudo entre amigos e esclarecimento de dúvidas.","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:35:07 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Não","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams","Não","Consegui superar os desafios","Não","Não","Sim","Ensino Presencial"
"2020/05/14 9:36:03 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte pago","Ensino EAD","","","","","","","","","","","Sim","Eu achava que seria horrível","Estou achando bom","Microsoft Teams","Não","Consegui superar os desafios","Não","Não","Não","Ensino Presencial"
"2020/05/14 9:36:30 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte pago","Ensino Remoto","Sim","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams;WhatsApp;Youtube","Não","Não consigo ter foco em casa;Não consigo me adaptar","Não","Sim","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/14 9:38:29 PM GMT-3","","Ensino Médio","Prof Waldemar Queiroz","Sim","Tenho dificuldades de horários","Ensino Remoto","Não","Eu não sabia o que pensar","Estou achando horrível","WhatsApp","Sim","Não consigo ter foco em casa","Estou com um estresse maior","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:39:26 PM GMT-3","","Curso Superior","Unitoledo","Sim","Dependo de transporte pago","Ensino EAD","","","","","","","","","","","Sim","Achei que seria Ruim","Estou achando Ruim","Google Hangouts Meet","Não","Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades;Não consigo ter foco em casa;Não consigo me adaptar","Estou com dor no corpo, por causa de ambiente impróprio para estudo","Não","Não","Ensino Presencial"
"2020/05/14 9:40:15 PM GMT-3","","Curso Superior","UNIATENEU","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Achava que seria bom","Estou achando bom","Microsoft Teams","Não","Consegui superar os desafios;Tem disciplinas que não consigo acompanhar.","Não","Depende","Sim","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:40:22 PM GMT-3","","Ensino Médio","SESI ","Sim","Dependo de transporte pago","Ensino EAD","","","","","","","","","","","Sim","Achei que seria Ruim","Estou achando Ruim","Microsoft Teams;Skype;WhatsApp","As vezes","Consegui superar os desafios;Minha internet não é boa;Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades;Não consigo ter foco em casa","Estou com um estresse maior","Sim","Não","Ensino Presencial"
"2020/05/14 9:49:20 PM GMT-3","","Curso Superior","Unip","Sim","Dependo de transporte pago","Ensino EAD","","","","","","","","","","","Sim","Achei que seria Ruim","Estou achando Ruim","Zoom","Não","Não consigo ter foco em casa","Não","Não","Não","Ensino Presencial"
